Region,Governorate,Income_Category,Date,GDP_Per_Capita_USD,Organic_Waste_Percentage,Plastic_Percentage,Paper_Cardboard_Percentage,Glass_Percentage,Metal_Percentage,Other_Waste_Percentage,Recycling_Rate_Percentage,Population,Total_MSW_Generated_Tons_Month,Agricultural_Waste_Tons_Year,Construction_Demolition_Waste_Tons_Year,E_Waste_Tons_Year,Hazardous_Waste_Tons_Year,Medical_Waste_Tons_Year,Total_Annual_MSW_Tons_Year,Waste_Collection_Coverage_Population_Percentage,Waste_Collection_Coverage_Waste_Percentage,Compost_Treatment_Percentage,Incineration_Percentage,Data_Source
South Upper Egypt Region,Qena,Lower Middle Income,2025-08,3350,56.8,11.4,15.7,2.9,0.5,12.8,19.1,3594282,53914,1077402,156670,3306,15266,4110,655956,41.3,35.5,10.8,2.2,Ministry of Environment - National Waste Management Program
South Upper Egypt Region,Qena,Lower Middle Income,2025-09,3350,50.1,6.7,14.8,6.7,7.9,13.9,19.4,3599314,53990,1077402,156670,3306,15266,4110,656875,36.4,30.9,13.2,1.4,Ministry of Environment - National Waste Management Program
South Upper Egypt Region,Qena,Lower Middle Income,2025-10,3350,48.9,19.7,6.6,0.9,3.7,20.2,19.4,3604353,54065,1115854,153488,3369,15413,4087,657794,45.2,39.2,11.3,1.9,Ministry of Environment - National Waste Management Program
South Upper Egypt Region,Qena,Lower Middle Income,2025-11,3350,56.6,15.6,8.2,2.6,4.1,12.8,19.8,3609399,54141,1115854,153488,3369,15413,4087,658715,41.5,35.7,11,2,Ministry of Environment - National Waste Management Program
South Upper Egypt Region,Qena,Lower Middle Income,2025-12,3350,56.1,15.3,11.8,0.5,3.4,12.9,20,3614452,54217,1115854,153488,3369,15413,4087,659637,35.3,29.7,12.1,1.7,Ministry of Environment - National Waste Management Program
South Upper Egypt Region,Red Sea,Middle/High Urban,2021-01,3690,59.8,10.3,4.8,6.3,1.4,17.3,12.2,380353,5705,121454,15387,100,462,131,69414,49.7,43.4,12.6,2.5,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2021-02,3690,48.2,16.8,12.6,4.7,2,15.7,12.6,380885,5713,121454,15387,100,462,131,69512,47.7,41.5,12.6,1.6,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2021-03,3690,54.3,13.3,13.5,9.3,0.5,9.3,12.7,381418,5721,121454,15387,100,462,131,69609,41.4,35.6,13.5,2,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2021-04,3690,61,7.2,10.1,6.5,3,12.2,11.8,381952,6760,118810,15789,104,505,130,69706,47.6,41.4,12.5,2,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2021-05,3690,50.9,11.4,9.6,7.2,2.2,18.7,11.5,382487,5737,118810,15789,104,505,130,69804,41.1,35.3,11.3,2.6,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2021-06,3690,51.1,19.7,5.6,5.7,0.5,17.4,13.1,383022,7181,118810,15789,104,505,130,69902,43.1,37.2,12.8,1.8,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2021-07,3690,51.5,13.7,7.1,7.4,0.5,19.8,12.3,383559,7191,121609,16962,103,510,125,70000,49,42.8,12,2.4,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2021-08,3690,57.5,8.3,15.2,1.9,3.2,13.9,12.8,384096,7201,121609,16962,103,510,125,70098,41.6,35.8,10.7,1.6,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2021-09,3690,46.6,11.6,13.8,7.3,3.6,17.1,12.6,384633,5769,121609,16962,103,510,125,70196,43.9,37.9,11.9,2.4,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2021-10,3690,57.9,12.8,12.9,3.9,2.1,10.4,12.5,385172,5778,124150,15778,100,470,129,70294,36.7,31.1,12,1.3,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2021-11,3690,50.3,17,11.7,8,1.4,11.6,13.5,385711,5786,124150,15778,100,470,129,70392,42.9,37,11.5,1.3,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2021-12,3690,54.4,16,8.9,7.1,0.5,13.1,13.8,386251,5794,124150,15778,100,470,129,70491,36.7,31.1,10.5,2.4,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2022-01,4295,50.7,16,9.8,9.9,0.5,13.2,13.4,386792,5802,120622,15993,100,495,136,70590,45,39,13.3,1.3,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2022-02,4295,55.3,15.1,6.8,10.4,3,9.5,12.7,387333,5810,120622,15993,100,495,136,70688,47.7,41.5,10.2,1.3,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2022-03,4295,49.2,10.3,18.6,7.1,2.9,11.9,13.7,387876,5818,120622,15993,100,495,136,70787,44.7,38.7,10.7,2.7,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2022-04,4295,64.9,16.7,0.5,6.4,3,8.5,14.2,388419,6875,123312,17039,107,480,128,70886,38.8,33.1,11.5,1.5,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2022-05,4295,48.5,17.8,9.9,6.8,8.3,8.7,13.5,388962,5834,123312,17039,107,480,128,70986,36.6,31,14,1.4,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2022-06,4295,52.1,16.6,9.7,0.5,3,18.1,14.4,389507,7304,123312,17039,107,480,128,71085,47.8,41.7,11,2.6,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2022-07,4295,60.2,10.7,9.7,4.1,0.5,14.8,14.4,390052,7314,124611,16266,102,520,138,71184,47.3,41.2,12,2.5,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2022-08,4295,55.4,17.2,4.2,8.7,1.5,13,14.7,390598,7324,124611,16266,102,520,138,71284,35.8,30.3,10.9,2.6,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2022-09,4295,60,9.9,11.5,1,0.9,16.6,14.7,391145,5867,124611,16266,102,520,138,71384,43.3,37.4,10.6,2.1,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2022-10,4295,55.3,8.7,11.8,4.1,3.7,16.3,14.4,391693,5875,117456,16862,106,483,127,71484,44.3,38.4,13.3,2.7,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2022-11,4295,53.6,14.7,9.9,0.5,0.5,20.8,15.4,392241,5884,117456,16862,106,483,127,71584,43.6,37.6,12.9,1.6,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2022-12,4295,51.1,15.2,7.8,3.4,0.9,21.5,15,392790,5892,117456,16862,106,483,127,71684,47.4,41.3,13.7,1.5,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2023-01,3700,55.7,10.7,3.3,11.6,2.2,16.4,15.2,393340,5900,127743,17027,104,516,127,71785,41.1,35.3,11.7,2.2,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2023-02,3700,57.1,10.7,12.2,1.6,0.5,17.8,14.9,393891,5908,127743,17027,104,516,127,71885,44.3,38.3,12.4,2.4,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2023-03,3700,57.4,14.1,10.9,6.1,0.5,11.1,15.3,394442,6982,127743,17027,104,516,127,71986,49.6,43.3,12.2,1.6,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2023-04,3700,51.8,9.1,10.9,8.3,7.8,12.1,15.2,394995,5925,123679,17170,111,512,140,72087,44.8,38.8,13.1,1.4,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2023-05,3700,50.8,13.3,11,0.4,9,15.5,15.6,395548,5933,123679,17170,111,512,140,72188,40.6,34.8,13.5,2.1,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2023-06,3700,59.7,17.8,12.2,0.5,2.4,7.3,16.6,396101,7428,123679,17170,111,512,140,72288,42.2,36.3,12.8,1.4,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2023-07,3700,56.1,12.2,9.6,8.6,1,12.5,15.5,396656,7438,126799,17583,102,510,131,72390,49.7,43.4,12.6,1.6,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2023-08,3700,63,6.1,10,0.6,0.6,19.7,15.5,397211,7448,126799,17583,102,510,131,72491,42.9,37,13.5,2.3,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2023-09,3700,53.6,9.8,9.5,0.5,2.8,23.9,16.9,397767,5967,126799,17583,102,510,131,72592,45.5,39.4,13,1.4,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2023-10,3700,61.2,12.9,10.2,0.5,0.5,14.7,16.3,398324,5975,122197,17320,111,482,133,72694,36.1,26,11.2,1.9,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2023-11,3700,52.5,16.1,15.9,5.2,3.1,7.1,16.2,398882,5983,122197,17320,111,482,133,72796,46.3,40.3,10.2,2.5,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2023-12,3700,57.5,8.1,8.1,7.6,6.9,11.7,17.1,399440,5992,122197,17320,111,482,133,72898,44.7,38.7,11.6,1.7,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2024-01,3200,61.5,11.5,5.9,1.6,0.6,18.9,16.6,400000,6000,130617,17702,103,501,139,73000,35.4,29.9,13.6,1.4,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2024-02,3200,59.2,15.8,6.5,0.5,3.3,14.7,17.6,400560,6008,130617,17702,103,501,139,73102,40.2,34.5,12.9,2.3,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2024-03,3200,49.1,9.5,13.3,4.6,8.5,15.2,17.4,401120,7100,130617,17702,103,501,139,73204,38.9,33.2,12.5,1.6,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2024-04,3200,58.8,8.1,11.7,2,0.5,18.9,17,401682,6025,121316,17654,104,504,132,73307,49.8,43.6,10.2,1.9,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2024-05,3200,63.3,10.1,9.8,0.9,0.6,15.3,18.2,402244,6034,121316,17654,104,504,132,73410,37.8,32.2,10.3,2.4,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2024-06,3200,52.8,8.7,14.1,6.2,3.8,14.3,17.3,402807,7552,121316,17654,104,504,132,73512,37.2,31.6,10.6,2.4,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2024-07,3200,51.6,16.7,11.3,0.5,4,15.8,17.9,403371,7564,120716,16930,106,511,133,73615,38.2,32.5,13.5,2.1,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2024-08,3200,64.7,15.9,8.8,0.6,0.6,9.4,17.8,403936,7574,120716,16930,106,511,133,73718,42.2,36.3,12.5,1.8,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2024-09,3200,74.9,4,9.4,1.1,2.3,8.4,18.4,404502,6068,120716,16930,106,511,133,73822,44.9,38.9,10.5,1.3,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2024-10,3200,58.8,8.1,14.9,1.3,2.7,14.3,18.6,405068,6076,130025,16386,107,529,138,73925,46.8,40.7,10.7,2.1,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2024-11,3200,57.2,13.2,8.4,5.4,5,10.9,18.1,405635,6085,130025,16386,107,529,138,74028,44.9,38.9,10,2.1,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2024-12,3200,52.2,16.2,11.7,7.1,3.4,9.3,18,406203,6093,130025,16386,107,529,138,74132,39.8,34.1,10.5,2,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2025-01,3350,47.2,12.8,12.3,13.2,6.1,8.4,18.6,406771,6102,123758,18130,114,498,131,74236,44.7,38.7,13.8,2.1,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2025-02,3350,48.6,20.2,8.4,3.8,0.5,18.6,18.2,407341,6110,123758,18130,114,498,131,74340,42.5,36.6,10.4,2.7,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2025-03,3350,60.7,9.2,5.8,4.9,3.1,16.3,19.5,407911,7220,123758,18130,114,498,131,74444,47.8,35.4,10.4,1.9,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2025-04,3350,60.9,12.5,8.1,3.6,0.8,14,18.9,408482,6127,128396,17856,113,531,137,74548,49.5,43.3,10.3,2,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2025-05,3350,60,9.9,13.3,2.8,0.5,13.5,18.8,409054,6136,128396,17856,113,531,137,74652,43.2,37.3,11.9,1.4,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2025-06,3350,50.3,11.9,10.3,6.8,7.3,13.4,19.2,409627,7680,128396,17856,113,531,137,74757,48.8,42.6,10.2,1.9,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2025-07,3350,47.8,11.2,5.6,9.9,10.2,15.4,18.7,410200,7691,123202,17361,110,503,140,74862,36.8,31.2,10.3,1.5,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2025-08,3350,60.1,14.3,11.7,0.5,2.6,10.7,18.9,410775,7702,123202,17361,110,503,140,74966,48.1,42,10.2,1.7,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2025-09,3350,51.1,11.3,15.7,6.7,3.6,11.5,20,411350,6170,123202,17361,110,503,140,75071,46.8,40.7,10.3,2.5,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2025-10,3350,58.8,12.1,10.6,3.8,1.3,13.4,19.3,411926,6179,126458,17555,115,543,145,75176,40.7,35,12.5,1.3,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2025-11,3350,52.4,7.5,12.2,11.1,4.7,12.2,19.3,412502,6188,126458,17555,115,543,145,75282,44.9,38.9,13.6,2.1,Red Sea Governorate - Tourism Waste Collection System
South Upper Egypt Region,Red Sea,Middle/High Urban,2025-12,3350,49.9,16,7.6,6.5,4.4,15.6,20.1,413080,6196,126458,17555,115,543,145,75387,42.4,36.5,10.8,1.5,Red Sea Governorate - Tourism Waste Collection System
Suez Canal Region,Sharqia,Lower Middle Income,2021-01,3690,64.9,16.9,11.1,1.6,0.6,5,12.3,7416883,111253,2297178,327663,6888,30167,8387,1353581,43.6,37.7,12.2,1.7,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2021-02,3690,50,17.2,11.7,4.3,0.5,16.3,12.5,7427267,111409,2297178,327663,6888,30167,8387,1355476,38.3,32.6,10,2.7,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2021-03,3690,61.6,21.4,6.6,1.1,0.6,8.7,12,7437665,111565,2297178,327663,6888,30167,8387,1357374,45.4,39.4,10.8,2.6,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2021-04,3690,62.8,14.2,7.4,0.5,7.6,7.5,11.8,7448078,131831,2309233,328847,6541,32048,8066,1359274,47.6,35.3,12.6,2.5,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2021-05,3690,52.8,12.1,16.7,7.3,1,10.2,13.1,7458505,111878,2309233,328847,6541,32048,8066,1361177,44.4,32.6,11.2,2.3,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2021-06,3690,61.6,7,10.8,3.6,1.6,15.4,12.6,7468947,112034,2309233,328847,6541,32048,8066,1363083,42.9,37,13.2,2.7,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2021-07,3690,55.2,14.5,10.3,5.4,3.4,11.2,12.7,7479403,112191,2213977,328371,6387,32880,8702,1364991,37.1,31.5,11.5,1.7,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2021-08,3690,60.7,11,7.3,2.9,2.7,15.3,13.4,7489875,112348,2213977,328371,6387,32880,8702,1366902,36,30.4,10.3,2.6,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2021-09,3690,59.2,10.9,10.8,4.3,0.5,14.3,13.3,7500360,112505,2213977,328371,6387,32880,8702,1368816,41.4,35.6,13,2.7,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2021-10,3690,55.6,12.5,10.1,1,10.2,10.7,13.4,7510861,112663,2246675,328527,6592,33177,8089,1370732,48.8,42.6,10.8,1.5,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2021-11,3690,49.3,16.4,9.4,2.8,0.7,21.4,14.2,7521376,112821,2246675,328527,6592,33177,8089,1372651,41.1,35.3,13.6,2.2,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2021-12,3690,52.2,13.9,9.6,4.6,7.7,11.8,13.2,7531906,112979,2246675,328527,6592,33177,8089,1374573,41.6,35.8,10.9,2.7,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2022-01,4295,50,16.3,11.9,4.4,4.9,12.5,14,7542451,113137,2426851,304313,6928,33535,8429,1376497,36,25.9,12.1,2.3,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2022-02,4295,51.6,11.5,7,8.1,0.5,21.4,13.7,7553010,113295,2426851,304313,6928,33535,8429,1378424,44.4,38.4,10.9,1.3,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2022-03,4295,64.3,6.3,9.8,3.7,4.9,11,14,7563584,113454,2426851,304313,6928,33535,8429,1380354,45.6,39.5,10.7,1.4,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2022-04,4295,64.8,13.1,7.3,0.6,6.7,7.5,14.6,7574173,134063,2304192,327319,7012,31225,8403,1382287,44.4,38.4,12.2,2.7,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2022-05,4295,54.5,15.3,8.6,3.9,7.3,10.4,14.3,7584777,113772,2304192,327319,7012,31225,8403,1384222,36.9,31.3,10.3,2,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2022-06,4295,50.4,10.2,13.6,8.6,0.5,16.8,14.5,7595396,113931,2304192,327319,7012,31225,8403,1386160,43.9,37.9,11.2,1.8,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2022-07,4295,50,16.4,9.7,3.2,6.5,14.3,14.8,7606030,114090,2276215,337314,6552,31020,8531,1388100,42.6,36.7,11.8,1.9,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2022-08,4295,63.8,16.6,10.4,0.5,0.7,8.1,14.4,7616678,114250,2276215,337314,6552,31020,8531,1390044,49.4,43.2,10.6,1.3,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2022-09,4295,51.7,15.6,9.5,7.6,4.3,11.4,14.4,7627341,114410,2276215,337314,6552,31020,8531,1391990,41.5,35.7,11,1.6,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2022-10,4295,56.8,15,10.8,4.5,0.5,12.4,14.4,7638020,114570,2328254,320299,6844,32453,8946,1393939,43.3,37.3,12.1,2.7,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2022-11,4295,60,16.5,3.8,0.5,3,16.4,14.1,7648713,114731,2328254,320299,6844,32453,8946,1395890,44.7,38.7,11.6,1.5,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2022-12,4295,52.7,16.6,10,3.4,6,11.5,15.9,7659421,114891,2328254,320299,6844,32453,8946,1397844,48.1,41.9,10.8,2.4,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2023-01,3700,47.8,13.7,8.6,10.2,5.2,14.5,14.8,7670144,115052,2315552,326276,6982,32100,8929,1399801,47.1,41,10.1,1.5,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2023-02,3700,53.1,15.7,8.3,5.1,0.5,17.4,15.2,7680882,115213,2315552,326276,6982,32100,8929,1401761,38.6,32.9,11.6,1.9,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2023-03,3700,51,16.7,15.7,5.6,2.7,8.3,15.4,7691636,136142,2315552,326276,6982,32100,8929,1403724,40.5,34.7,12.4,1.6,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2023-04,3700,55.5,12.9,11.4,10.1,0.5,9.6,15.7,7702404,115536,2419307,342913,7110,32332,8327,1405689,44,38.1,13.5,1.5,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2023-05,3700,55.5,16.3,12.3,0.5,6,9.3,16,7713187,115698,2419307,342913,7110,32332,8327,1407657,40.2,34.4,10.6,2.4,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2023-06,3700,49.7,11.9,7.3,7.2,4,19.8,16.2,7723986,115860,2419307,342913,7110,32332,8327,1409627,45.8,39.7,10.3,1.7,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2023-07,3700,49.7,11.2,13.3,3.4,8,14.5,15.8,7734799,116022,2364728,327719,6885,31321,9058,1411601,39,33.3,13.1,2.2,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2023-08,3700,47.8,18.1,13.8,8,0.5,11.8,16,7745628,116184,2364728,327719,6885,31321,9058,1413577,47.6,41.5,12.7,1.3,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2023-09,3700,52,9.3,16.4,3.7,2.9,15.7,16.4,7756472,116347,2364728,327719,6885,31321,9058,1415556,41.6,35.8,13,1.9,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2023-10,3700,69.5,0.6,8.8,0.6,5.4,15.2,16.3,7767331,116510,2471607,332068,7279,33712,8463,1417538,50,43.7,12,2.7,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2023-11,3700,53.9,4.6,8.3,8.3,8.5,16.3,17.1,7778205,116673,2471607,332068,7279,33712,8463,1419522,42.1,36.2,13,1.8,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2023-12,3700,49.1,17.5,12.4,3.4,0.5,17.1,16.9,7789095,116836,2471607,332068,7279,33712,8463,1421510,47.3,41.2,10.6,2.7,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2024-01,3200,51.2,13.7,9.8,9.7,2.4,13.3,17.1,7800000,117000,2371711,327548,7151,34374,8758,1423500,49.9,43.6,12,2,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2024-02,3200,60.3,10,12.8,2.9,0.5,13.5,17.2,7810920,117164,2371711,327548,7151,34374,8758,1425493,46.3,40.2,13.4,2.6,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2024-03,3200,56.4,15.9,13.8,2.5,0.4,10.9,17.6,7821855,138447,2371711,327548,7151,34374,8758,1427489,49.7,43.4,10.7,2.6,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2024-04,3200,56.9,13.4,9.5,7.5,0.6,12.1,17.3,7832805,117492,2521403,339824,6973,34655,8922,1429487,48.8,42.6,13.2,1.8,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2024-05,3200,51.8,17.5,5.5,4.7,2.5,17.9,16.8,7843771,117657,2521403,339824,6973,34655,8922,1431488,39.4,33.7,11.4,1.8,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2024-06,3200,58.5,13.4,7.8,0.5,3.8,16,17.7,7854753,117821,2521403,339824,6973,34655,8922,1433492,40.4,34.6,11,1.7,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2024-07,3200,57.3,9.6,12.6,6.5,0.6,13.4,17.3,7865749,117986,2494535,327362,7152,33795,8785,1435499,49.7,43.5,12.6,2.3,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2024-08,3200,48.7,18.4,4.7,6.3,2.7,19.2,17.5,7876761,118151,2494535,327362,7152,33795,8785,1437509,39.8,29,13.3,1.5,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2024-09,3200,64.3,16,3.9,0.6,6.7,8.5,18.1,7887789,118317,2494535,327362,7152,33795,8785,1439521,47.1,41,10.2,2.2,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2024-10,3200,53.6,16.6,12.5,1.1,0.5,15.7,18.5,7898832,118482,2424170,319738,6967,35078,8668,1441537,40.5,34.7,13.6,2.6,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2024-11,3200,58.4,10,6.4,1.9,5.2,18.1,18.1,7909890,118648,2424170,319738,6967,35078,8668,1443555,49.3,43.1,13,1.7,Ministry of Environment - Central Administration for East Delta Region
Suez Canal Region,Sharqia,Lower Middle Income,2024-12,3200,53.1,7.3,20.2,3.5,4.2,11.6,18.4,7920964,118814,2424170,319738,6967,35078,8668,1445576,40.5,34.7,12.7,1.6,Ministry of Environment - Central Administration for East Delta Region
